Instante,Pedidos Em Espera,Pedido Em Produção,Pedidos Prontos
231,987,1,12
232,987,1,12
233,987,1,12
234,987,1,12
235,987,1,12
236,987,1,12
237,987,1,12
238,987,1,12
239,987,1,12
240,987,1,12
241,987,1,12
242,987,1,12
243,987,1,12
244,987,1,12
245,987,1,12
246,987,1,12
247,987,1,12
248,987,1,12
249,987,1,12
250,987,1,12
251,987,1,12
252,987,1,12
253,987,1,12
254,987,1,12
255,987,0,13
256,986,1,13
257,986,1,13
258,986,1,13
259,986,1,13
260,986,1,13
261,986,1,13
262,986,1,13
263,986,1,13
264,986,1,13
265,986,1,13
266,986,1,13
267,986,1,13
268,986,1,13
269,986,1,13
270,986,1,13
271,986,1,13
272,986,1,13
273,986,1,13
274,986,1,13
275,986,1,13
276,986,0,14
277,985,1,14
278,985,1,14
279,985,1,14
280,985,1,14
281,985,1,14
282,985,1,14
283,985,1,14
284,985,1,14
285,985,1,14
286,985,1,14
287,985,1,14
288,985,1,14
289,985,1,14
290,985,1,14
291,985,1,14
292,985,1,14
293,985,1,14
294,985,1,14
295,985,1,14
296,985,1,14
297,985,1,14
298,985,1,14
299,985,1,14
300,985,1,14
301,985,1,14
302,985,1,14
303,985,0,15
304,984,1,15
305,984,1,15
306,984,1,15
307,984,1,15
308,984,1,15
309,984,1,15
310,984,1,15
311,984,1,15
312,984,1,15
313,984,1,15
314,984,1,15
315,984,1,15
316,984,1,15
317,984,1,15
318,984,1,15
319,984,1,15
320,984,1,15
321,984,1,15
322,984,1,15
323,984,1,15
324,984,1,15
325,984,1,15
326,984,1,15
327,984,1,15
328,984,0,16
329,983,1,16
330,983,1,16
331,983,1,16
332,983,1,16
333,983,1,16
334,983,1,16
335,983,1,16
336,983,1,16
337,983,1,16
338,983,1,16
339,983,1,16
340,983,1,16
341,983,1,16
342,983,1,16
343,983,1,16
344,983,1,16
345,983,1,16
346,983,1,16
347,983,1,16
348,983,1,16
349,983,1,16
350,983,1,16
351,983,1,16
352,983,1,16
353,983,1,16
354,983,1,16
355,983,1,16
356,983,1,16
357,983,0,17
358,982,1,17
359,982,1,17
360,982,1,17
361,982,1,17
362,982,1,17
363,982,1,17
364,982,1,17
365,982,1,17
366,982,1,17
367,982,1,17
368,982,1,17
369,982,1,17
370,982,1,17
371,982,1,17
372,982,1,17
373,982,1,17
374,982,1,17
375,982,1,17
376,982,1,17
377,982,1,17
378,982,1,17
379,982,1,17
380,982,0,18
381,981,1,18
382,981,1,18
383,981,1,18
384,981,1,18
385,981,1,18
386,981,1,18
387,981,1,18
388,981,1,18
389,981,1,18
390,981,1,18
391,981,1,18
392,981,1,18
393,981,1,18
394,981,1,18
395,981,1,18
396,981,1,18
397,981,1,18
398,981,1,18
399,981,1,18
400,981,1,18
401,981,0,19
402,980,1,19
403,980,1,19
404,980,1,19
405,980,1,19
406,980,1,19
407,980,1,19
408,980,1,19
409,980,1,19
410,980,1,19
411,980,1,19
412,980,0,20
413,979,1,20
414,979,1,20
415,979,1,20
416,979,1,20
417,979,1,20
418,979,1,20
419,979,1,20
420,979,1,20
421,979,1,20
422,979,1,20
423,979,1,20
424,979,1,20
425,979,1,20
426,979,1,20
427,979,1,20
428,979,1,20
429,979,1,20
430,979,1,20
431,979,1,20
432,979,1,20
433,979,1,20
434,979,1,20
435,979,1,20
436,979,1,20
437,979,1,20
438,979,1,20
439,979,1,20
440,979,1,20
441,979,1,20
442,979,0,21
443,978,1,21
444,978,1,21
445,978,1,21
446,978,1,21
447,978,1,21
448,978,1,21
449,978,1,21
450,978,1,21
451,978,1,21
452,978,1,21
453,978,1,21
454,978,1,21
455,978,1,21
456,978,1,21
457,978,1,21
458,978,1,21
459,978,1,21
460,978,1,21
461,978,1,21
462,978,1,21
463,978,0,22
464,977,1,22
465,977,1,22
466,977,1,22
467,977,1,22
468,977,1,22
469,977,1,22
470,977,1,22
471,977,1,22
472,977,1,22
473,977,1,22
474,977,1,22
475,977,1,22
476,977,1,22
477,977,1,22
478,977,1,22
479,977,1,22
480,977,1,22
481,977,1,22
482,977,1,22
483,977,1,22
484,977,1,22
485,977,1,22
486,977,1,22
487,977,1,22
488,977,0,23
489,976,1,23
490,976,1,23
491,976,1,23
492,976,1,23
493,976,1,23
494,976,1,23
495,976,1,23
496,976,1,23
497,976,1,23
498,976,1,23
499,976,1,23
500,976,1,23
501,976,1,23
502,976,1,23
503,976,1,23
504,976,1,23
505,976,1,23
506,976,1,23
507,976,1,23
508,976,1,23
509,976,1,23
510,976,1,23
511,976,1,23
512,976,1,23
513,976,1,23
514,976,0,24
515,975,1,24
516,975,1,24
517,975,1,24
518,975,1,24
519,975,1,24
520,975,1,24
521,975,1,24
522,975,1,24
523,975,1,24
524,975,1,24
525,975,1,24
526,975,1,24
527,975,1,24
528,975,1,24
529,975,1,24
530,975,1,24
531,975,1,24
532,975,1,24
533,975,1,24
534,975,1,24
535,975,1,24
536,975,1,24
537,975,0,25
538,974,1,25
539,974,1,25
540,974,1,25
541,974,1,25
542,974,1,25
543,974,1,25
544,974,1,25
545,974,1,25
546,974,1,25
547,974,1,25
548,974,1,25
549,974,1,25
550,974,1,25
551,974,1,25
552,974,1,25
553,974,1,25
554,974,1,25
555,974,1,25
556,974,1,25
557,974,1,25
558,974,1,25
559,974,1,25
560,974,1,25
561,974,1,25
562,974,1,25
563,974,1,25
564,974,0,26
565,973,1,26
566,973,1,26
567,973,1,26
568,973,1,26
569,973,1,26
570,973,1,26
571,973,1,26
572,973,1,26
573,973,1,26
574,973,1,26
575,973,1,26
576,973,1,26
577,973,1,26
578,973,1,26
579,973,1,26
580,973,1,26
581,973,1,26
582,973,1,26
583,973,1,26
584,973,1,26
585,973,1,26
586,973,0,27
587,972,1,27
588,972,1,27
589,972,1,27
590,972,1,27
591,972,1,27
592,972,1,27
593,972,1,27
594,972,1,27
595,972,1,27
596,972,1,27
597,972,1,27
598,972,1,27
599,972,1,27
600,972,1,27
601,972,1,27
602,972,1,27
603,972,1,27
604,972,1,27
605,972,1,27
606,972,1,27
607,972,0,28
608,971,1,28
609,971,1,28
610,971,1,28
611,971,1,28
612,971,1,28
613,971,1,28
614,971,1,28
615,971,1,28
616,971,1,28
617,971,1,28
618,971,1,28
619,971,1,28
620,971,1,28
621,971,1,28
622,971,1,28
623,971,0,29
624,970,1,29
625,970,1,29
626,970,1,29
627,970,1,29
628,970,1,29
629,970,1,29
630,970,1,29
631,970,1,29
632,970,1,29
633,970,1,29
634,970,1,29
635,970,1,29
636,970,1,29
637,970,1,29
638,970,1,29
639,970,1,29
640,970,1,29
641,970,1,29
642,970,1,29
643,970,1,29
644,970,1,29
645,970,1,29
646,970,1,29
647,970,1,29
648,970,1,29
649,970,1,29
650,970,1,29
651,970,1,29
652,970,0,30
653,969,1,30
654,969,1,30
655,969,1,30
656,969,1,30
657,969,1,30
658,969,1,30
659,969,1,30
660,969,1,30
661,969,1,30
662,969,1,30
663,969,1,30
664,969,1,30
665,969,1,30
666,969,1,30
667,969,1,30
668,969,1,30
669,969,1,30
670,969,1,30
671,969,1,30
672,969,1,30
673,969,1,30
674,969,1,30
675,969,1,30
676,969,1,30
677,969,1,30
678,969,1,30
679,969,0,31
680,968,1,31
681,968,1,31
682,968,1,31
683,968,1,31
684,968,1,31
685,968,1,31
686,968,1,31
687,968,1,31
688,968,1,31
689,968,1,31
690,968,0,32
691,967,1,32
692,967,1,32
693,967,1,32
694,967,1,32
695,967,1,32
696,967,1,32
697,967,1,32
698,967,1,32
699,967,1,32
700,967,1,32
701,967,1,32
702,967,1,32
703,967,1,32
704,967,1,32
705,967,1,32
706,967,1,32
707,967,1,32
708,967,1,32
709,967,1,32
710,967,1,32
711,967,1,32
712,967,1,32
713,967,0,33
714,966,1,33
715,966,1,33
716,966,1,33
717,966,1,33
718,966,1,33
719,966,1,33
720,966,1,33
721,966,1,33
722,966,1,33
723,966,1,33
724,966,1,33
725,966,1,33
726,966,1,33
727,966,1,33
728,966,1,33
729,966,1,33
730,966,1,33
731,966,1,33
732,966,1,33
733,966,0,34
734,965,1,34
735,965,1,34
736,965,1,34
737,965,1,34
738,965,1,34
739,965,1,34
740,965,1,34
741,965,1,34
742,965,1,34
743,965,1,34
744,965,1,34
745,965,1,34
746,965,1,34
747,965,1,34
748,965,1,34
749,965,1,34
750,965,1,34
751,965,1,34
752,965,1,34
753,965,1,34
754,965,1,34
755,965,0,35
756,964,1,35
757,964,1,35
758,964,1,35
759,964,1,35
760,964,1,35
761,964,1,35
762,964,1,35
763,964,1,35
764,964,1,35
765,964,0,36
766,963,1,36
767,963,1,36
768,963,1,36
769,963,1,36
770,963,1,36
771,963,1,36
772,963,1,36
773,963,1,36
774,963,1,36
775,963,1,36
776,963,1,36
777,963,1,36
778,963,1,36
779,963,1,36
780,963,1,36
781,963,1,36
782,963,1,36
783,963,1,36
784,963,1,36
785,963,1,36
786,963,1,36
787,963,1,36
788,963,1,36
789,963,1,36
790,963,1,36
791,963,1,36
792,963,1,36
793,963,1,36
794,963,0,37
795,962,1,37
796,962,1,37
797,962,1,37
798,962,1,37
799,962,1,37
800,962,1,37
801,962,1,37
802,962,1,37
803,962,1,37
804,962,1,37
805,962,1,37
806,962,1,37
807,962,1,37
808,962,1,37
809,962,1,37
810,962,1,37
811,962,1,37
812,962,1,37
813,962,1,37
814,962,1,37
815,962,1,37
816,962,1,37
817,962,1,37
818,962,1,37
819,962,1,37
820,962,1,37
821,962,1,37
822,962,1,37
823,962,1,37
824,962,0,38
825,961,1,38
826,961,1,38
827,961,1,38
828,961,1,38
829,961,1,38
830,961,1,38
831,961,1,38
832,961,1,38
833,961,1,38
834,961,1,38
835,961,1,38
836,961,1,38
837,961,1,38
838,961,1,38
839,961,1,38
840,961,1,38
841,961,1,38
842,961,0,39
843,960,1,39
844,960,1,39
845,960,1,39
846,960,1,39
847,960,1,39
848,960,1,39
849,960,1,39
850,960,1,39
851,960,1,39
852,960,1,39
853,960,0,40
854,959,1,40
855,959,1,40
856,959,1,40
857,959,1,40
858,959,1,40
859,959,1,40
860,959,1,40
861,959,1,40
862,959,1,40
863,959,1,40
864,959,1,40
865,959,1,40
866,959,1,40
867,959,1,40
868,959,0,41
869,958,1,41
870,958,1,41
871,958,1,41
872,958,1,41
873,958,1,41
874,958,1,41
875,958,1,41
876,958,1,41
877,958,1,41
878,958,1,41
879,958,1,41
880,958,1,41
881,958,1,41
882,958,1,41
883,958,1,41
884,958,1,41
885,958,1,41
886,958,1,41
887,958,1,41
888,958,1,41
889,958,1,41
890,958,1,41
891,958,1,41
892,958,1,41
893,958,1,41
894,958,1,41
895,958,1,41
896,958,1,41
897,958,1,41
898,958,0,42
899,957,1,42
900,957,1,42
901,957,1,42
902,957,1,42
903,957,1,42
904,957,1,42
905,957,1,42
906,957,1,42
907,957,1,42
908,957,0,43
909,956,1,43
910,956,1,43
911,956,1,43
912,956,1,43
913,956,1,43
914,956,1,43
915,956,1,43
916,956,1,43
917,956,1,43
918,956,1,43
919,956,1,43
920,956,1,43
921,956,1,43
922,956,1,43
923,956,1,43
924,956,1,43
925,956,1,43
926,956,1,43
927,956,0,44
928,955,1,44
929,955,1,44
930,955,1,44
931,955,1,44
932,955,1,44
933,955,1,44
934,955,1,44
935,955,1,44
936,955,1,44
937,955,1,44
938,955,1,44
939,955,1,44
940,955,1,44
941,955,1,44
942,955,1,44
943,955,1,44
944,955,1,44
945,955,1,44
946,955,1,44
947,955,0,45
948,954,1,45
949,954,1,45
950,954,1,45
951,954,1,45
952,954,1,45
953,954,1,45
954,954,1,45
955,954,1,45
956,954,1,45
957,954,1,45
958,954,1,45
959,954,0,46
960,953,1,46
961,953,1,46
962,953,1,46
963,953,1,46
964,953,1,46
965,953,1,46
966,953,1,46
967,953,1,46
968,953,1,46
969,953,1,46
970,953,1,46
971,953,1,46
972,953,1,46
973,953,1,46
974,953,1,46
975,953,1,46
976,953,1,46
977,953,1,46
978,953,1,46
979,953,1,46
980,953,1,46
981,953,0,47
982,952,1,47
983,952,1,47
984,952,1,47
985,952,1,47
986,952,1,47
987,952,1,47
988,952,1,47
989,952,1,47
990,952,1,47
991,952,1,47
992,952,1,47
993,952,1,47
994,952,1,47
995,952,1,47
996,952,1,47
997,952,1,47
998,952,1,47
999,952,0,48
1000,951,1,48
1001,951,1,48
1002,951,1,48
1003,951,1,48
1004,951,1,48
1005,951,1,48
1006,951,1,48
1007,951,1,48
1008,951,1,48
1009,951,1,48
1010,951,1,48
1011,951,1,48
1012,951,1,48
1013,951,1,48
1014,951,1,48
1015,951,1,48
1016,951,1,48
1017,951,1,48
1018,951,1,48
1019,951,1,48
1020,951,1,48
1021,951,1,48
1022,951,1,48
1023,951,1,48
1024,951,1,48
1025,951,1,48
1026,951,1,48
1027,951,0,49
1028,950,1,49
1029,950,1,49
1030,950,1,49
1031,950,1,49
1032,950,1,49
1033,950,1,49
1034,950,1,49
1035,950,1,49
1036,950,1,49
1037,950,1,49
1038,950,1,49
1039,950,1,49
1040,950,1,49
1041,950,1,49
1042,950,1,49
1043,950,1,49
1044,950,1,49
1045,950,1,49
1046,950,1,49
1047,950,1,49
1048,950,1,49
1049,950,1,49
1050,950,1,49
1051,950,1,49
1052,950,1,49
1053,950,1,49
1054,950,1,49
1055,950,0,50
1056,949,1,50
1057,949,1,50
1058,949,1,50
1059,949,1,50
1060,949,1,50
1061,949,1,50
1062,949,1,50
1063,949,1,50
1064,949,1,50
1065,949,1,50
1066,949,1,50
1067,949,1,50
1068,949,1,50
1069,949,1,50
1070,949,1,50
1071,949,1,50
1072,949,1,50
1073,949,1,50
1074,949,1,50
1075,949,1,50
1076,949,1,50
1077,949,1,50
1078,949,1,50
1079,949,1,50
1080,949,1,50
1081,949,0,51
1082,948,1,51
1083,948,1,51
1084,948,1,51
1085,948,1,51
1086,948,1,51
1087,948,1,51
1088,948,1,51
1089,948,1,51
1090,948,1,51
1091,948,1,51
1092,948,1,51
1093,948,1,51
1094,948,1,51
1095,948,1,51
1096,948,1,51
1097,948,1,51
1098,948,1,51
1099,948,1,51
1100,948,1,51
1101,948,1,51
1102,948,1,51
1103,948,1,51
1104,948,1,51
1105,948,1,51
1106,948,1,51
1107,948,1,51
1108,948,0,52
1109,947,1,52
1110,947,1,52
1111,947,1,52
1112,947,1,52
1113,947,1,52
1114,947,1,52
1115,947,1,52
1116,947,1,52
1117,947,1,52
1118,947,1,52
1119,947,1,52
1120,947,1,52
1121,947,1,52
1122,947,1,52
1123,947,1,52
1124,947,1,52
1125,947,1,52
1126,947,1,52
1127,947,1,52
1128,947,1,52
1129,947,1,52
1130,947,0,53
1131,946,1,53
1132,946,1,53
1133,946,1,53
1134,946,1,53
1135,946,1,53
1136,946,1,53
1137,946,1,53
1138,946,1,53
1139,946,1,53
1140,946,1,53
1141,946,1,53
1142,946,1,53
1143,946,1,53
1144,946,1,53
1145,946,0,54
1146,945,1,54
1147,945,1,54
1148,945,1,54
1149,945,1,54
1150,945,1,54
1151,945,1,54
1152,945,1,54
1153,945,1,54
1154,945,1,54
1155,945,1,54
1156,945,1,54
1157,945,1,54
1158,945,1,54
1159,945,1,54
1160,945,1,54
1161,945,1,54
1162,945,1,54
1163,945,1,54
1164,945,1,54
1165,945,1,54
1166,945,1,54
1167,945,1,54
1168,945,1,54
1169,945,1,54
1170,945,0,55
1171,944,1,55
1172,944,1,55
1173,944,1,55
1174,944,1,55
1175,944,1,55
1176,944,1,55
1177,944,1,55
1178,944,1,55
1179,944,1,55
1180,944,1,55
1181,944,1,55
1182,944,1,55
1183,944,1,55
1184,944,1,55
1185,944,1,55
1186,944,1,55
1187,944,1,55
1188,944,1,55
1189,944,1,55
1190,944,0,56
1191,943,1,56
1192,943,1,56
1193,943,1,56
1194,943,1,56
1195,943,1,56
1196,943,1,56
1197,943,1,56
1198,943,1,56
1199,943,1,56
1200,943,0,57
1201,942,1,57
1202,942,1,57
1203,942,1,57
1204,942,1,57
1205,942,1,57
1206,942,1,57
1207,942,1,57
1208,942,1,57
1209,942,1,57
1210,942,1,57
1211,942,1,57
1212,942,1,57
1213,942,1,57
1214,942,1,57
1215,942,1,57
1216,942,1,57
1217,942,1,57
1218,942,1,57
1219,942,1,57
1220,942,1,57
1221,942,1,57
1222,942,1,57
1223,942,0,58
1224,941,1,58
1225,941,1,58
1226,941,1,58
1227,941,1,58
1228,941,1,58
1229,941,1,58
1230,941,1,58
1231,941,1,58
1232,941,1,58
1233,941,1,58
1234,941,1,58
1235,941,1,58
1236,941,0,59
1237,940,1,59
1238,940,1,59
1239,940,1,59
1240,940,1,59
1241,940,1,59
1242,940,1,59
1243,940,1,59
1244,940,1,59
1245,940,1,59
1246,940,1,59
1247,940,1,59
1248,940,1,59
1249,940,1,59
1250,940,1,59
1251,940,1,59
1252,940,0,60
1253,939,1,60
1254,939,1,60
1255,939,1,60
1256,939,1,60
1257,939,1,60
1258,939,1,60
1259,939,1,60
1260,939,1,60
1261,939,1,60
1262,939,1,60
1263,939,1,60
1264,939,1,60
1265,939,1,60
1266,939,1,60
1267,939,1,60
1268,939,1,60
1269,939,1,60
1270,939,1,60
1271,939,1,60
1272,939,1,60
1273,939,1,60
1274,939,1,60
1275,939,1,60
1276,939,1,60
1277,939,1,60
1278,939,1,60
1279,939,1,60
1280,939,0,61
1281,938,1,61
1282,938,1,61
1283,938,1,61
1284,938,1,61
1285,938,1,61
1286,938,1,61
1287,938,1,61
1288,938,1,61
1289,938,1,61
1290,938,1,61
1291,938,1,61
1292,938,0,62
1293,937,1,62
1294,937,1,62
1295,937,1,62
1296,937,1,62
1297,937,1,62
1298,937,1,62
1299,937,1,62
1300,937,1,62
1301,937,1,62
1302,937,1,62
1303,937,1,62
1304,937,1,62
1305,937,1,62
1306,937,1,62
1307,937,1,62
1308,937,1,62
1309,937,1,62
1310,937,0,63
1311,936,1,63
1312,936,1,63
1313,936,1,63
1314,936,1,63
1315,936,1,63
1316,936,1,63
1317,936,1,63
1318,936,1,63
1319,936,1,63
1320,936,1,63
1321,936,1,63
1322,936,1,63
1323,936,1,63
1324,936,1,63
1325,936,1,63
1326,936,1,63
1327,936,1,63
1328,936,1,63
1329,936,1,63
1330,936,1,63
1331,936,1,63
1332,936,1,63
1333,936,1,63
1334,936,1,63
1335,936,1,63
1336,936,1,63
1337,936,1,63
1338,936,1,63
1339,936,1,63
1340,936,0,64
1341,935,1,64
1342,935,1,64
1343,935,1,64
1344,935,1,64
1345,935,1,64
1346,935,1,64
1347,935,1,64
1348,935,1,64
1349,935,1,64
1350,935,1,64
1351,935,1,64
1352,935,1,64
1353,935,1,64
1354,935,0,65
1355,934,1,65
1356,934,1,65
1357,934,1,65
1358,934,1,65
1359,934,1,65
1360,934,1,65
1361,934,1,65
1362,934,1,65
1363,934,1,65
1364,934,1,65
1365,934,1,65
1366,934,1,65
1367,934,1,65
1368,934,1,65
1369,934,1,65
1370,934,1,65
1371,934,1,65
1372,934,1,65
1373,934,1,65
1374,934,1,65
1375,934,1,65
1376,934,1,65
1377,934,1,65
1378,934,1,65
1379,934,1,65
1380,934,1,65
1381,934,0,66
1382,933,1,66
1383,933,1,66
1384,933,1,66
1385,933,1,66
1386,933,1,66
1387,933,1,66
1388,933,1,66
1389,933,1,66
1390,933,1,66
1391,933,1,66
1392,933,1,66
1393,933,1,66
1394,933,1,66
1395,933,1,66
1396,933,1,66
1397,933,1,66
1398,933,1,66
1399,933,1,66
1400,933,1,66
1401,933,1,66
1402,933,1,66
1403,933,1,66
1404,933,1,66
1405,933,0,67
1406,932,1,67
1407,932,1,67
1408,932,1,67
1409,932,1,67
1410,932,1,67
1411,932,1,67
1412,932,1,67
1413,932,1,67
1414,932,1,67
1415,932,1,67
1416,932,1,67
1417,932,1,67
1418,932,1,67
1419,932,1,67
1420,932,1,67
1421,932,0,68
1422,931,1,68
1423,931,1,68
1424,931,1,68
1425,931,1,68
1426,931,1,68
1427,931,1,68
1428,931,1,68
1429,931,1,68
1430,931,1,68
1431,931,1,68
1432,931,1,68
1433,931,1,68
1434,931,1,68
1435,931,1,68
1436,931,0,69
1437,930,1,69
1438,930,1,69
1439,930,1,69
1440,930,1,69
1441,930,1,69
1442,930,1,69
1443,930,1,69
1444,930,1,69
1445,930,1,69
1446,930,1,69
1447,930,1,69
1448,930,1,69
1449,930,1,69
1450,930,1,69
1451,930,1,69
1452,930,1,69
1453,930,0,70
1454,929,1,70
1455,929,1,70
1456,929,1,70
1457,929,1,70
1458,929,1,70
1459,929,1,70
1460,929,1,70
1461,929,1,70
1462,929,1,70
1463,929,1,70
1464,929,1,70
1465,929,1,70
1466,929,1,70
1467,929,1,70
1468,929,1,70
1469,929,1,70
1470,929,1,70
1471,929,1,70
1472,929,1,70
1473,929,1,70
1474,929,1,70
1475,929,0,71
1476,928,1,71
1477,928,1,71
1478,928,1,71
1479,928,1,71
1480,928,1,71
1481,928,1,71
1482,928,1,71
1483,928,1,71
1484,928,1,71
1485,928,1,71
1486,928,1,71
1487,928,1,71
1488,928,1,71
1489,928,1,71
1490,928,1,71
1491,928,1,71
1492,928,1,71
1493,928,1,71
1494,928,1,71
1495,928,1,71
1496,928,1,71
1497,928,1,71
1498,928,1,71
1499,928,1,71
1500,928,0,72
1501,927,1,72
1502,927,1,72
1503,927,1,72
1504,927,1,72
1505,927,1,72
1506,927,1,72
1507,927,1,72
1508,927,1,72
1509,927,1,72
1510,927,1,72
1511,927,1,72
1512,927,1,72
1513,927,0,73
1514,926,1,73
1515,926,1,73
1516,926,1,73
1517,926,1,73
1518,926,1,73
1519,926,1,73
1520,926,1,73
1521,926,1,73
1522,926,1,73
1523,926,1,73
1524,926,1,73
1525,926,1,73
1526,926,1,73
1527,926,1,73
1528,926,1,73
1529,926,1,73
1530,926,1,73
1531,926,1,73
1532,926,1,73
1533,926,1,73
1534,926,1,73
1535,926,1,73
1536,926,1,73
1537,926,1,73
1538,926,1,73
1539,926,1,73
1540,926,0,74
1541,925,1,74
1542,925,1,74
1543,925,1,74
1544,925,1,74
1545,925,1,74
1546,925,1,74
1547,925,1,74
1548,925,1,74
1549,925,1,74
1550,925,1,74
1551,925,1,74
1552,925,1,74
1553,925,1,74
1554,925,1,74
1555,925,1,74
1556,925,1,74
1557,925,1,74
1558,925,1,74
1559,925,1,74
1560,925,1,74
1561,925,1,74
1562,925,1,74
1563,925,1,74
1564,925,0,75
1565,924,1,75
1566,924,1,75
1567,924,1,75
1568,924,1,75
1569,924,1,75
1570,924,1,75
1571,924,1,75
1572,924,1,75
1573,924,1,75
1574,924,1,75
1575,924,1,75
1576,924,1,75
1577,924,1,75
1578,924,1,75
1579,924,1,75
1580,924,1,75
1581,924,1,75
1582,924,1,75
1583,924,1,75
1584,924,1,75
1585,924,1,75
1586,924,1,75
1587,924,1,75
1588,924,0,76
1589,923,1,76
1590,923,1,76
1591,923,1,76
1592,923,1,76
1593,923,1,76
1594,923,1,76
1595,923,1,76
1596,923,1,76
1597,923,1,76
1598,923,1,76
1599,923,1,76
1600,923,1,76
1601,923,1,76
1602,923,1,76
1603,923,1,76
1604,923,0,77
1605,922,1,77
1606,922,1,77
1607,922,1,77
1608,922,1,77
1609,922,1,77
1610,922,1,77
1611,922,1,77
1612,922,1,77
1613,922,1,77
1614,922,1,77
1615,922,1,77
1616,922,1,77
1617,922,1,77
1618,922,1,77
1619,922,1,77
1620,922,1,77
1621,922,1,77
1622,922,1,77
1623,922,1,77
1624,922,1,77
1625,922,0,78
1626,921,1,78
1627,921,1,78
1628,921,1,78
1629,921,1,78
1630,921,1,78
1631,921,1,78
1632,921,1,78
1633,921,1,78
1634,921,1,78
1635,921,1,78
1636,921,1,78
1637,921,1,78
1638,921,1,78
1639,921,1,78
1640,921,1,78
1641,921,1,78
1642,921,1,78
1643,921,1,78
1644,921,1,78
1645,921,1,78
1646,921,1,78
1647,921,1,78
1648,921,1,78
1649,921,1,78
1650,921,1,78
1651,921,1,78
1652,921,1,78
1653,921,1,78
1654,921,1,78
1655,921,0,79
1656,920,1,79
1657,920,1,79
